cowntee_NA,cowntee_IN,cowntee_CO,cowntee_GE,cowntee__1,cowntee__2,cowntee_Sh,cowntee__3,popul_byco,popul_by_1,popul_by_2,popul_by_3,popul_by_4,popul_by_5,popul_by_6,popul_by_7,popul_by_8,popul_by_9,popul_b_10,popul_b_11,popul_b_12,popul_b_13,popul_b_14,popul_b_15,popul_b_16,popul_b_17,popul_b_18,popul_b_19,popul_b_20,popul_b_21,popul_b_22,popul_b_23,popul_b_24,popul_b_25,popul_b_26,popul_b_27,popul_b_28,popul_b_29,popul_b_30,popul_b_31,popul_b_32,popul_b_33,popul_b_34,popul_b_35,popul_b_36,popul_b_37,popul_b_38,popul_b_39,popul_b_40,popul_b_41,popul_b_42,popul_b_43,popul_b_44,popul_b_45,popul_b_46,popul_b_47,popul_b_48,popul_b_49,popul_b_50,popul_b_51,popul_b_52,popul_b_53,popul_b_54,popul_b_55,popul_b_56,popul_b_57,popul_b_58,popul_b_59
Harding,+35.8631519,021,35021,-103.8299311,21,4.04208348126,0.54939228476,459,70,176,213,62,55,76,8,121,137,266,0,2,0,6,2,4,0,0,2,26,11,9,2,20,20,19,22,8,29,36,20,16,12,193,21,28,13,0,0,0,0,0,0,13,0,8,9,6,26,7,7,7,7,12,13,10,6,21,35
Sierra,+33.1194790,051,35051,-107.1881607,51,5.00824444381,1.06015408378,11135,1796,3918,5421,888,1978,2753,908,1940,2668,5516,340,113,241,214,125,76,29,218,126,259,221,248,143,372,387,227,237,126,357,574,502,240,141,5619,178,304,323,83,79,29,26,102,277,162,165,246,299,390,433,246,299,266,375,480,414,195,248,51,35
Lea,+32.7956865,025,35025,-103.4132707,25,4.65431704217,1.09557762014,70126,21165,7684,41277,10254,4198,19537,10911,3486,21740,36137,2792,2830,3624,1665,1221,413,530,1592,2623,2931,2488,1996,2058,2103,1874,945,966,526,710,835,676,419,320,33989,2701,3052,2904,1597,927,401,562,1368,2339,2393,2370,1782,1922,1911,2077,671,814,537,654,1109,726,572,600,25,35
Guadalupe,+34.8697822,019,35019,-104.7849677,19,4.11515089212,0.77403445100,4382,774,990,2618,356,483,1036,418,507,1582,2507,165,51,109,93,22,0,9,54,207,266,242,152,156,194,191,36,53,105,50,83,106,118,45,1875,55,134,136,31,28,30,82,22,106,149,78,56,88,92,193,21,91,42,81,128,110,70,52,19,35
Torrance,+34.6346444,057,35057,-105.8468361,57,4.11080447746,0.85198274234,15595,3293,3001,9301,1483,1478,4276,1810,1523,5025,8358,393,403,524,490,193,142,136,345,480,342,626,447,525,508,563,333,385,224,324,494,306,93,82,7237,348,411,534,190,114,143,113,247,260,413,357,384,410,545,792,197,301,243,326,365,292,224,28,57,35
Grant,+32.7320870,017,35017,-108.3815043,17,5.71048092067,0.98862163141,28061,5874,7197,14990,2804,3673,7715,3070,3524,7275,13869,874,947,773,476,310,165,292,384,643,711,649,799,633,746,984,456,503,442,708,992,829,234,319,14192,772,682,806,544,337,133,125,435,732,804,719,693,708,857,1062,365,745,545,641,879,684,394,530,17,35
Otero,+32.5887764,035,35035,-105.7810785,35,5.92011287771,1.64915259577,65745,15440,10952,39353,7593,5749,18517,7847,5203,20836,33886,2221,2313,2105,1208,890,275,748,2444,2921,2409,1897,1792,1655,1883,2203,480,1239,653,864,1481,1155,566,484,31859,2220,1960,2225,1188,706,318,444,1378,2196,2097,1876,1627,1838,1939,2103,793,1202,664,1264,1241,1312,610,658,35,35
San Juan,+36.5116245,045,35045,-108.3245778,45,5.27611082313,1.44301155521,127455,34703,17443,75309,17063,9631,37638,17640,7812,37671,63123,4661,4971,5148,2860,1613,877,849,2394,4550,4404,4300,3490,3426,3824,4295,1428,2221,1230,1577,1954,1387,687,977,64332,4367,5048,4740,2908,1499,831,823,2356,4415,4320,3908,3858,3505,4031,4478,1475,2139,1379,1831,2150,1661,1341,1269,45,35
Roosevelt,+34.0214569,041,35041,-103.4827248,41,3.87718758298,0.62058927841,19117,4728,2574,11815,2325,1387,5882,2403,1187,5933,9523,728,608,715,352,479,183,293,812,728,619,612,325,471,493,439,212,267,176,290,272,147,212,90,9594,695,813,419,398,440,273,375,637,671,504,576,368,479,546,586,236,191,162,256,328,169,253,219,41,35
Curry,+34.5729841,009,35009,-103.3460546,9,2.69332785279,0.35824571849,50199,13411,6018,30770,6474,3367,14249,6937,2651,16521,26109,2100,1831,1925,1081,893,398,754,1697,2640,1970,1655,1543,1176,1298,1198,502,797,385,435,764,620,266,181,24090,2060,1834,1668,912,534,526,331,1031,2012,1860,1402,1312,1260,1377,1444,487,673,300,637,820,581,440,589,9,35
Taos,+36.5765287,055,35055,-105.6379865,55,3.79121495365,0.57485888205,32888,6053,7976,18859,3005,4286,9521,3048,3690,9338,16076,693,819,971,565,319,16,289,888,487,835,773,1115,992,1089,1378,535,622,499,870,968,688,459,206,16812,815,921,747,522,520,96,291,464,448,854,836,917,1015,1223,1355,649,853,800,684,1100,487,674,541,55,35
Hidalgo,+31.8996575,023,35023,-108.7457292,23,4.57093673126,0.85103069625,4371,1001,919,2451,541,480,1201,460,439,1250,2149,105,135,159,61,29,14,26,29,231,115,159,72,116,158,131,69,101,40,60,121,118,54,46,2222,151,155,133,102,117,13,15,56,73,80,96,131,129,182,135,45,129,73,87,97,64,63,96,23,35
Eddy,+32.4578575,015,35015,-104.3064708,15,4.18373277225,1.04285961798,57437,15197,8129,34111,7394,4409,16645,7803,3720,17466,28989,2108,2093,2357,1245,750,310,333,1314,2036,2185,1780,1638,1705,1834,1851,858,872,537,830,803,798,364,388,28448,2070,1997,2051,1276,679,475,308,1053,1930,1988,1713,1567,1580,1670,1879,676,1127,759,728,823,763,542,794,15,35
De Baca,+34.3514285,011,35011,-104.4015274,11,3.45543383297,0.59222796829,2060,548,431,1081,270,205,533,278,226,548,1052,45,56,65,112,40,8,0,6,54,65,123,23,34,100,37,17,41,36,44,53,41,20,32,1008,60,49,127,34,53,38,8,34,2,60,60,97,49,69,18,15,30,5,67,56,37,14,26,11,35
Cibola,+34.9320500,006,35006,-108.0002545,6,5.37043456208,1.16026915096,26978,6438,4088,16452,3334,2262,7734,3104,1826,8718,13648,917,830,808,549,395,124,154,576,1132,964,991,978,845,837,805,325,592,163,279,652,438,175,119,13330,915,813,996,610,299,149,107,600,892,796,747,758,726,809,895,465,491,376,422,466,393,233,372,6,35
Quay,+35.1070184,037,35037,-103.5480712,37,4.38548098241,0.73785248989,8373,1858,2026,4489,1010,1079,2403,848,947,2086,3881,205,313,245,85,109,10,33,159,87,317,247,180,131,221,314,84,194,140,173,249,185,101,99,4492,303,443,156,108,103,73,48,46,195,320,233,273,217,222,383,70,220,129,233,260,188,155,114,37,35
